URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.138661786,0,0.138661786,0.467708611,33.05660377,41.67946749,15.42636099,1953,824,1953,1.568607069,29,5.353430353
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.084250731,0,0.084250731,0.42249686,20.55882353,29.0302656,10.11797042,1619,452,1619,1.35215736,58,4.450507614
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.114437608,0,0.114437608,0.487987997,24.57352941,39.73262032,11.67272727,1870,712,1870,1.565925122,36,5.066739012
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.155879541,0,0.155879541,0.489358278,20.68421053,33.79389752,9.756958458,1737,517,1737,1.422002328,59,4.558207218
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.054676061,0,0.054676061,0.510967923,25.13432836,35.12807109,12.05424628,1913,628,1913,1.448126018,65,4.789244976
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.121502036,0,0.121502036,0.452439043,26.73913043,33.04782298,12.8007386,1401,433,1401,1.427728614,71,4.662979351
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.145363778,0,0.145363778,0.419899876,17.82926829,34.97596154,8.743034709,832,270,832,1.413542926,24,4.621523579
https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,2,50,1.6,2,1,2,1.5,0,5
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.192329198,0,0.192329198,0.578329043,23.3,31.34517766,11.09042301,788,227,788,1.339449541,38,4.545216252
https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.168904937,0,0.168904937,0.536219174,30.86956522,33.24937028,14.43069397,2382,751,2382,1.440189329,78,4.663080895
https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.117765624,0,0.117765624,0.467300913,20.73863636,32.47399367,10.65189959,2211,721,2211,1.336982389,135,4.642551166
https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.131865079,0,0.131865079,0.428228504,28.14634146,39.31962025,13.00290985,1264,491,1264,1.575320513,40,5.234775641
https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.101386234,0,0.101386234,0.373228637,18.41538462,32.39130435,9.1012932,1380,430,1380,1.375653473,24,4.668409261
